"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.species.orthologs","Tissue","Comments","Primary.Inferred","Inferred.from","Inferred.Elements","A.thaliana_TAIR10 orthologs","G.max_Wm82.a2.v1 orthologs","M.truncatula_Mt4.0v1 orthologs","O.sativa_v7.0 orthologs","P.trichocarpa_v4.1 orthologs","S.bicolor_v3.1.1 orthologs","S.italica_v2.2 orthologs","S.viridis_v2.1 orthologs","V.vinifera_v2.1 orthologs","Z.mays_RefGen_V4 orthologs"
"Z.mays_RefGen_V4","Zm00001d019725",NA,"Li,P,S,Fe,Co",NA,NA,NA,NA,"Inferred","AtUCC1",NA,"AT2G32300","Glyma.13G305600, Glyma.12G196600","Medtr2g088990","LOC_Os08g04310, LOC_Os09g39940, LOC_Os08g04360, LOC_Os08g04350, LOC_Os08g04340, LOC_Os08g04370","Potri.007G120200","Sobic.007G033300, Sobic.007G033400, Sobic.002G140300, Sobic.002G140400","Seita.6G070700, Seita.2G139400, Seita.2G139500","Sevir.6G069300, Sevir.2G145000","VIT_212s0059g02640","Zm00001d024691, Zm00001d019726, Zm00001d019725"
"Z.mays_RefGen_V4","Zm00001d019726",NA,"Li,P,S,Fe,Co",NA,NA,NA,NA,"Inferred","AtUCC1",NA,"AT2G32300","Glyma.13G305600, Glyma.12G196600","Medtr2g088990","LOC_Os08g04310, LOC_Os09g39940, LOC_Os08g04360, LOC_Os08g04350, LOC_Os08g04340, LOC_Os08g04370","Potri.007G120200","Sobic.007G033300, Sobic.007G033400, Sobic.002G140300, Sobic.002G140400","Seita.6G070700, Seita.2G139400, Seita.2G139500","Sevir.6G069300, Sevir.2G145000","VIT_212s0059g02640","Zm00001d024691, Zm00001d019726, Zm00001d019725"
"Z.mays_RefGen_V4","Zm00001d020395",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","AtVIT1,OsVIT1,OsVIT2",NA,"AT2G01770","Glyma.08G047500, Glyma.05G240600","Medtr8g105790, Medtr8g105810","LOC_Os04g38940, LOC_Os09g23300","Potri.010G104100, Potri.010G104200","Sobic.006G109000, Sobic.002G194600","Seita.7G126700, Seita.2G197500","Sevir.7G134800, Sevir.2G205200","VIT_201s0011g06010, VIT_201s0011g06000","Zm00001d025623, Zm00001d020395"
"Z.mays_RefGen_V4","Zm00001d020623",NA,"Cu",NA,NA,NA,NA,"Inferred","AtCOPT5",NA,"AT5G20650","Glyma.04G057000, Glyma.06G057400, Glyma.14G107100, Glyma.17G219400","Medtr3g105330, Medtr1g015000","LOC_Os09g26900, LOC_Os08g35490","Potri.006G219200, Potri.006G140700","Sobic.002G215800, Sobic.001G353200","Seita.2G218500","Sevir.2G228000","VIT_211s0016g00920","Zm00001d020623, Zm00001d005819"
"Z.mays_RefGen_V4","Zm00001d021535",NA,"Cs,K,Mg",NA,NA,NA,NA,"Inferred","AtGSO1/SGN3",NA,"AT5G44700, AT4G20140","Glyma.08G090000, Glyma.05G134800, Glyma.09G048300, Glyma.15G155600","Medtr4g094790, Medtr2g437730","LOC_Os07g31500","Potri.001G075000, Potri.003G156200","Sobic.002G308200","Seita.2G320400","Sevir.2G331800","VIT_201s0010g03820, VIT_201s0010g00380","Zm00001d021535"
"Z.mays_RefGen_V4","Zm00001d021596",NA,"S,Se",NA,NA,NA,NA,"Inferred","AtAPR2",NA,"AT4G04610, AT4G21990, AT1G62180","Glyma.07G261500, Glyma.09G004400, Glyma.15G108700","Medtr2g023540","LOC_Os07g32570","Potri.004G011525, Potri.004G012100","Sobic.002G314300","Seita.2G327500","Sevir.2G338800","VIT_212s0059g00760, VIT_200s1490g00010, VIT_210s0116g01650","Zm00001d006467, Zm00001d021596"
"Z.mays_RefGen_V4","Zm00001d021701",NA,"Cd,Co,Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AtILR3,OsPRI1",NA,"AT5G54680, AT1G51070","Glyma.15G063000, Glyma.15G062600, Glyma.12G196700, Glyma.13G305500, Glyma.12G136300, Glyma.06G266800, Glyma.13G286700, Glyma.12G214900","Medtr2g089000, Medtr4g081370, Medtr2g082640","LOC_Os08g04390, LOC_Os07g35870","Potri.004G031800, Potri.011G031000, Potri.001G416600, Potri.011G132400","Sobic.007G033800, Sobic.002G329300","Seita.6G069500, Seita.2G342600","Sevir.6G068300, Sevir.2G352900","VIT_200s0532g00050, VIT_219s0014g05100, VIT_212s0059g02650","Zm00001d027911, Zm00001d046173, Zm00001d049384, Zm00001d046571, Zm00001d024679, Zm00001d021701"
"Z.mays_RefGen_V4","Zm00001d021878",NA,"Fe,Zn,Co,Mn",NA,NA,NA,NA,"Inferred","AtFYVE1",NA,"AT1G20110","Glyma.04G023100, Glyma.06G023000, Glyma.17G259400, Glyma.08G248500","Medtr3g114080","LOC_Os06g50840, LOC_Os07g38580","Potri.005G242700, Potri.002G018900","Sobic.010G269100, Sobic.002G348600","Seita.4G283000, Seita.2G363000","Sevir.4G295200, Sevir.2G374000","VIT_218s0001g14750","Zm00001d021878"
"Z.mays_RefGen_V4","Zm00001d022225",NA,"Fe,Zn,Mn,Co",NA,NA,NA,NA,"Inferred","AtPYE",NA,"AT3G47640","Glyma.05G027600, Glyma.17G098900","Medtr4g108360","LOC_Os03g26210, LOC_Os07g43530","Potri.015G142700, Potri.003G074400","Sobic.001G355600, Sobic.002G385300","Seita.9G384500, Seita.2G400400","Sevir.9G389000, Sevir.2G412100","VIT_214s0108g00480, VIT_217s0000g06000","Zm00001d029339, Zm00001d022225"
"Z.mays_RefGen_V4","Zm00001d022557",NA,"Fe,Zn,Cu",NA,NA,NA,NA,"Inferred","OsNAS2,OsNAS1,OsNAS3",NA,"","","","LOC_Os03g19427, LOC_Os03g19420, LOC_Os07g48980","","Sobic.001G395900, Sobic.001G151400","Seita.9G429600, Seita.9G045300, Seita.2G440200","Sevir.9G433666, Sevir.9G044800, Sevir.2G452700","","Zm00001d047658, Zm00001d047651, Zm00001d047656, Zm00001d047639, Zm00001d028887, Zm00001d028888, Zm00001d022557, Zm00001d013655, Zm00001d033496"
"Z.mays_RefGen_V4","Zm00001d024512",NA,"Fe",NA,NA,NA,NA,"Inferred","AtGA1",NA,"AT4G02780","Glyma.03G154700, Glyma.19G157000, Glyma.03G154500, Glyma.03G154400","Medtr7g011663, Medtr7g011770, Medtr7g011740, Medtr7g094970","LOC_Os02g36210, LOC_Os04g09900, LOC_Os02g17780","Potri.002G052100, Potri.005G210300","Sobic.005G161200, Sobic.001G248600","Seita.1G203600, Seita.2G144900, Seita.9G351400, Seita.9G262400","Sevir.1G206900, Sevir.2G150600, Sevir.9G357500, Sevir.9G265300","VIT_207s0151g01070, VIT_207s0151g01040","Zm00001d024512, Zm00001d048867, Zm00001d048874, Zm00001d029648, Zm00001d032961"
"Z.mays_RefGen_V4","Zm00001d024679",NA,"Cd,Co,Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AtILR3,OsPRI1",NA,"AT5G54680, AT1G51070","Glyma.15G063000, Glyma.15G062600, Glyma.12G196700, Glyma.13G305500, Glyma.12G136300, Glyma.06G266800, Glyma.13G286700, Glyma.12G214900","Medtr2g089000, Medtr4g081370, Medtr2g082640","LOC_Os08g04390, LOC_Os07g35870","Potri.004G031800, Potri.011G031000, Potri.001G416600, Potri.011G132400","Sobic.007G033800, Sobic.002G329300","Seita.6G069500, Seita.2G342600","Sevir.6G068300, Sevir.2G352900","VIT_200s0532g00050, VIT_219s0014g05100, VIT_212s0059g02650","Zm00001d027911, Zm00001d046173, Zm00001d049384, Zm00001d046571, Zm00001d024679, Zm00001d021701"
"Z.mays_RefGen_V4","Zm00001d024691",NA,"Li,P,S,Fe,Co",NA,NA,NA,NA,"Inferred","AtUCC1",NA,"AT2G32300","Glyma.13G305600, Glyma.12G196600","Medtr2g088990","LOC_Os08g04310, LOC_Os09g39940, LOC_Os08g04360, LOC_Os08g04350, LOC_Os08g04340, LOC_Os08g04370","Potri.007G120200","Sobic.007G033300, Sobic.007G033400, Sobic.002G140300, Sobic.002G140400","Seita.6G070700, Seita.2G139400, Seita.2G139500","Sevir.6G069300, Sevir.2G145000","VIT_212s0059g02640","Zm00001d024691, Zm00001d019726, Zm00001d019725"
"Z.mays_RefGen_V4","Zm00001d024702",NA,"Cd",NA,NA,NA,NA,"Inferred","AtTSB1",NA,"AT5G54810, AT4G27070","Glyma.18G102800, Glyma.08G312300","Medtr3g051120, Medtr3g049410","LOC_Os08g04180","Potri.001G420300, Potri.011G136000","Sobic.007G032000","Seita.6G072900","Sevir.6G072000","VIT_219s0177g00310","Zm00001d049610, Zm00001d024702"
"Z.mays_RefGen_V4","Zm00001d025028",NA,"P,As,Se",NA,NA,NA,NA,"Inferred","AtPHT1;5,AtPHT1;4,AtPHT1;1,OsPT2",NA,"AT3G54700, AT2G38940, AT2G32830, AT5G43370, AT5G43350, AT5G43360, AT4G08878, AT5G43340, AT4G08895","Glyma.10G186400, Glyma.20G204100, Glyma.03G162800, Glyma.19G164300, Glyma.10G036800, Glyma.10G186500, Glyma.20G204000, Glyma.10G006700, Glyma.02G005800","Medtr1g074940, Medtr7g096870, Medtr7g096880, Medtr1g069935, Medtr1g069930, Medtr1g074930, Medtr1g043200, Medtr1g043290, Medtr1g043220, Medtr3g082700","LOC_Os08g45000, LOC_Os03g04360, LOC_Os04g10690, LOC_Os04g10750, LOC_Os10g30770, LOC_Os03g05620, LOC_Os03g05640, LOC_Os03g05610, LOC_Os10g30790, LOC_Os10g20500","Potri.010G071500, Potri.005G223600, Potri.002G038900, Potri.010G071700, Potri.010G071600, Potri.010G072000, Potri.001G318500, Potri.005G175500, Potri.005G175700","Sobic.006G026800, Sobic.007G164400, Sobic.001G513400, Sobic.006G027300, Sobic.001G234900, Sobic.001G502000, Sobic.001G502100, Sobic.001G234800","Seita.7G033100, Seita.6G253400, Seita.4G276500, Seita.9G548500, Seita.7G032900, Seita.9G238400, Seita.9G538500, Seita.9G538600, Seita.6G012100, Seita.9G238300","Sevir.7G019800, Sevir.6G257900, Sevir.4G288300, Sevir.9G553200, Sevir.7G019300, Sevir.9G238400, Sevir.9G542800, Sevir.9G542900, Sevir.6G010350, Sevir.9G238300","VIT_207s0005g03290, VIT_205s0049g00940, VIT_205s0049g00920, VIT_205s0049g00930","Zm00001d025028, Zm00001d031875, Zm00001d027549, Zm00001d004301, Zm00001d027700, Zm00001d032850"
"Z.mays_RefGen_V4","Zm00001d025057",NA,"Fe",NA,NA,NA,NA,"Inferred","ZmYS1",NA,"","Glyma.16G219400, Glyma.09G169700, Glyma.09G170000","Medtr4g072360, Medtr4g072350, Medtr4g072320, Medtr6g073110","LOC_Os04g08550, LOC_Os10g02380, LOC_Os10g02490, LOC_Os03g13390","","Sobic.006G018300, Sobic.006G018200, Sobic.001G443100","Seita.9G476100","Sevir.9G479900","VIT_205s0077g02180, VIT_218s0001g09570, VIT_205s0077g02150, VIT_205s0077g02190","Zm00001d025057, Zm00001d028360"
"Z.mays_RefGen_V4","Zm00001d025081",NA,"As",NA,NA,NA,NA,"Inferred","AtHAC1,OsHAC1;1,OsHAC1;2",NA,"AT2G21045, AT2G17850, AT5G66170","Glyma.12G017900, Glyma.01G165300, Glyma.11G077900, Glyma.02G047000, Glyma.16G126500","Medtr2g017630, Medtr2g059890, Medtr5g022390, Medtr8g075420","LOC_Os04g17660, LOC_Os02g01220","Potri.014G131300, Potri.005G111200","Sobic.006G032700, Sobic.004G002600","Seita.2G199200, Seita.1G002000","Sevir.2G207400, Sevir.1G001900","VIT_204s0023g03590, VIT_204s0023g03600","Zm00001d025081"
"Z.mays_RefGen_V4","Zm00001d025205",NA,"Fe,Mn,Cu,Zn",NA,NA,NA,NA,"Inferred","AtFRU,OsFIT/bHLH156",NA,"AT2G28160","Glyma.13G322100, Glyma.12G178500, Glyma.11G192800, Glyma.12G081200","Medtr2g084280, Medtr4g057270","LOC_Os04g31290","Potri.009G005600","Sobic.006G047200","Seita.7G070000, Seita.7G069900","Sevir.7G076400, Sevir.7G076300","VIT_206s0061g00720","Zm00001d004007, Zm00001d025205"
"Z.mays_RefGen_V4","Zm00001d025303",NA,"Cs,K",NA,NA,NA,NA,"Inferred","OsHAK1,ZmHAK5",NA,"","","","LOC_Os02g31940, LOC_Os02g31910, LOC_Os04g32920, LOC_Os01g70490","","Sobic.004G160000, Sobic.006G062100, Sobic.006G061300, Sobic.003G413600, Sobic.003G413700","Seita.1G175000, Seita.7G082800, Seita.7G082700, Seita.7G082300, Seita.5G439500","Sevir.1G177900, Sevir.7G090300, Sevir.7G090200, Sevir.7G089700, Sevir.5G446100","","Zm00001d025303, Zm00001d003861, Zm00001d042244"
"Z.mays_RefGen_V4","Zm00001d025623",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","AtVIT1,OsVIT1,OsVIT2",NA,"AT2G01770","Glyma.08G047500, Glyma.05G240600","Medtr8g105790, Medtr8g105810","LOC_Os04g38940, LOC_Os09g23300","Potri.010G104100, Potri.010G104200","Sobic.006G109000, Sobic.002G194600","Seita.7G126700, Seita.2G197500","Sevir.7G134800, Sevir.2G205200","VIT_201s0011g06010, VIT_201s0011g06000","Zm00001d025623, Zm00001d020395"
"Z.mays_RefGen_V4","Zm00001d025864",NA,"Fe,Cd,Zn,Co,Mo",NA,NA,NA,NA,"Inferred","AtMYB72,AtMYB10",NA,"AT3G23250, AT3G12820, AT1G56160, AT1G79180, AT1G16490, AT2G31180, AT1G06180","Glyma.08G168100, Glyma.15G259400, Glyma.10G165800, Glyma.20G223400, Glyma.03G250600, Glyma.19G248100","Medtr2g067420, Medtr7g115650","LOC_Os04g43680, LOC_Os02g41510, LOC_Os10g33810","Potri.007G067600, Potri.005G096600, Potri.019G018200","Sobic.006G148000, Sobic.004G219800, Sobic.001G219200","Seita.7G167300, Seita.1G239400, Seita.9G222100","Sevir.7G176600, Sevir.1G244400, Sevir.9G221500","VIT_219s0085g00050","Zm00001d003064, Zm00001d025864, Zm00001d017268, Zm00001d051149, Zm00001d014029, Zm00001d032694"
"Z.mays_RefGen_V4","Zm00001d025977",NA,"Fe,Zn,Cu,Mn",NA,NA,NA,NA,"Inferred","AtYSL1,AtYSL3,OsYSL2,OsYSL9,OsYSL16",NA,"AT5G24380, AT5G53550, AT4G24120","Glyma.17G191300, Glyma.06G133000, Glyma.09G127600, Glyma.04G231900, Glyma.13G001500, Glyma.20G068300, Glyma.20G217400, Glyma.10G172900","Medtr3g092090, Medtr1g077840","LOC_Os04g45860, LOC_Os04g45900, LOC_Os02g43370","Potri.011G055224, Potri.001G084400, Potri.001G082400","Sobic.006G164200, Sobic.006G164300, Sobic.004G299700","Seita.7G185000, Seita.7G185100, Seita.1G254200, Seita.1G254100","Sevir.7G195100, Sevir.7G195200, Sevir.1G258500, Sevir.1G258400","VIT_216s0098g01250, VIT_202s0025g02500, VIT_202s0025g02510","Zm00001d002797, Zm00001d025977, Zm00001d017427"
"Z.mays_RefGen_V4","Zm00001d026014",NA,"Al",NA,NA,NA,NA,"Inferred","OsEXPA10",NA,"AT3G03220","Glyma.02G240900, Glyma.14G210500","Medtr5g076950","LOC_Os04g49410","Potri.004G080200, Potri.017G140000","Sobic.006G191700","Seita.7G212500","Sevir.7G224300","VIT_204s0079g00420","Zm00001d002548, Zm00001d026014"
"Z.mays_RefGen_V4","Zm00001d026041",NA,"As",NA,NA,NA,NA,"Inferred","OsABCC7",NA,"AT3G60970, AT3G60160","Glyma.07G121900, Glyma.03G101000","Medtr0874s0020, Medtr8g009640","LOC_Os04g49900, LOC_Os04g49890","Potri.014G180100","Sobic.006G054200, Sobic.006G195800","Seita.7G043600, Seita.7G076800, Seita.7G076700, Seita.7G216700","Sevir.7G048600, Sevir.7G083600, Sevir.7G083400, Sevir.7G228400","VIT_215s0021g00220","Zm00001d026041, Zm00001d002503"
"Z.mays_RefGen_V4","Zm00001d026679",NA,"Fe",NA,NA,NA,NA,"Inferred","AtVTL1,AtVTL2,AtVTL5",NA,"AT3G25190, AT1G76800, AT3G43630, AT1G21140, AT3G43660","Glyma.05G121400, Glyma.08G076100, Glyma.05G121300, Glyma.08G076000, Glyma.20G166100, Glyma.16G168200, Glyma.02G082500, Glyma.08G181900, Glyma.15G050400","Medtr4g094325, Medtr4g094330, Medtr4g094328, Medtr4g094332, Medtr1g099010, Medtr6g034975, Medtr0119s0020, Medtr0119s0010, Medtr2g008110","LOC_Os04g59020","Potri.002G069400, Potri.018G106000, Potri.005G190800","Sobic.006G276300","Seita.3G311300, Seita.3G006100","Sevir.3G316403, Sevir.3G007500","VIT_212s0055g00860, VIT_212s0055g00850, VIT_212s0055g00870, VIT_218s0076g00320","Zm00001d026679, Zm00001d002884"
"Z.mays_RefGen_V4","Zm00001d027305",NA,"As",NA,NA,NA,NA,"Inferred","OsLSI2",NA,"","","","LOC_Os03g01700, LOC_Os10g39980","","Sobic.001G539200, Sobic.001G307700","Seita.9G574800, Seita.9G335700","Sevir.9G339100","","Zm00001d027305, Zm00001d029842"
"Z.mays_RefGen_V4","Zm00001d027549",NA,"P,As,Se",NA,NA,NA,NA,"Inferred","AtPHT1;5,AtPHT1;4,AtPHT1;1,OsPT2",NA,"AT3G54700, AT2G38940, AT2G32830, AT5G43370, AT5G43350, AT5G43360, AT4G08878, AT5G43340, AT4G08895","Glyma.10G186400, Glyma.20G204100, Glyma.03G162800, Glyma.19G164300, Glyma.10G036800, Glyma.10G186500, Glyma.20G204000, Glyma.10G006700, Glyma.02G005800","Medtr1g074940, Medtr7g096870, Medtr7g096880, Medtr1g069935, Medtr1g069930, Medtr1g074930, Medtr1g043200, Medtr1g043290, Medtr1g043220, Medtr3g082700","LOC_Os08g45000, LOC_Os03g04360, LOC_Os04g10690, LOC_Os04g10750, LOC_Os10g30770, LOC_Os03g05620, LOC_Os03g05640, LOC_Os03g05610, LOC_Os10g30790, LOC_Os10g20500","Potri.010G071500, Potri.005G223600, Potri.002G038900, Potri.010G071700, Potri.010G071600, Potri.010G072000, Potri.001G318500, Potri.005G175500, Potri.005G175700","Sobic.006G026800, Sobic.007G164400, Sobic.001G513400, Sobic.006G027300, Sobic.001G234900, Sobic.001G502000, Sobic.001G502100, Sobic.001G234800","Seita.7G033100, Seita.6G253400, Seita.4G276500, Seita.9G548500, Seita.7G032900, Seita.9G238400, Seita.9G538500, Seita.9G538600, Seita.6G012100, Seita.9G238300","Sevir.7G019800, Sevir.6G257900, Sevir.4G288300, Sevir.9G553200, Sevir.7G019300, Sevir.9G238400, Sevir.9G542800, Sevir.9G542900, Sevir.6G010350, Sevir.9G238300","VIT_207s0005g03290, VIT_205s0049g00940, VIT_205s0049g00920, VIT_205s0049g00930","Zm00001d025028, Zm00001d031875, Zm00001d027549, Zm00001d004301, Zm00001d027700, Zm00001d032850"
"Z.mays_RefGen_V4","Zm00001d027700",NA,"P,As,Se",NA,NA,NA,NA,"Inferred","AtPHT1;5,AtPHT1;4,AtPHT1;1,OsPT2",NA,"AT3G54700, AT2G38940, AT2G32830, AT5G43370, AT5G43350, AT5G43360, AT4G08878, AT5G43340, AT4G08895","Glyma.10G186400, Glyma.20G204100, Glyma.03G162800, Glyma.19G164300, Glyma.10G036800, Glyma.10G186500, Glyma.20G204000, Glyma.10G006700, Glyma.02G005800","Medtr1g074940, Medtr7g096870, Medtr7g096880, Medtr1g069935, Medtr1g069930, Medtr1g074930, Medtr1g043200, Medtr1g043290, Medtr1g043220, Medtr3g082700","LOC_Os08g45000, LOC_Os03g04360, LOC_Os04g10690, LOC_Os04g10750, LOC_Os10g30770, LOC_Os03g05620, LOC_Os03g05640, LOC_Os03g05610, LOC_Os10g30790, LOC_Os10g20500","Potri.010G071500, Potri.005G223600, Potri.002G038900, Potri.010G071700, Potri.010G071600, Potri.010G072000, Potri.001G318500, Potri.005G175500, Potri.005G175700","Sobic.006G026800, Sobic.007G164400, Sobic.001G513400, Sobic.006G027300, Sobic.001G234900, Sobic.001G502000, Sobic.001G502100, Sobic.001G234800","Seita.7G033100, Seita.6G253400, Seita.4G276500, Seita.9G548500, Seita.7G032900, Seita.9G238400, Seita.9G538500, Seita.9G538600, Seita.6G012100, Seita.9G238300","Sevir.7G019800, Sevir.6G257900, Sevir.4G288300, Sevir.9G553200, Sevir.7G019300, Sevir.9G238400, Sevir.9G542800, Sevir.9G542900, Sevir.6G010350, Sevir.9G238300","VIT_207s0005g03290, VIT_205s0049g00940, VIT_205s0049g00920, VIT_205s0049g00930","Zm00001d025028, Zm00001d031875, Zm00001d027549, Zm00001d004301, Zm00001d027700, Zm00001d032850"
"Z.mays_RefGen_V4","Zm00001d027749",NA,"S",NA,NA,NA,NA,"Inferred","AtSULTR3;1",NA,"AT3G51895","Glyma.03G156700, Glyma.19G159000","Medtr7g095430","LOC_Os03g06520","Potri.010G082700, Potri.008G156600, Potri.002G049500, Potri.005G213500","Sobic.001G496800","Seita.9G532700","Sevir.9G537000","VIT_205s0020g03930, VIT_207s0151g00410, VIT_207s0151g00340","Zm00001d027749"
"Z.mays_RefGen_V4","Zm00001d027911",NA,"Cd,Co,Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AtILR3,OsPRI1",NA,"AT5G54680, AT1G51070","Glyma.15G063000, Glyma.15G062600, Glyma.12G196700, Glyma.13G305500, Glyma.12G136300, Glyma.06G266800, Glyma.13G286700, Glyma.12G214900","Medtr2g089000, Medtr4g081370, Medtr2g082640","LOC_Os08g04390, LOC_Os07g35870","Potri.004G031800, Potri.011G031000, Potri.001G416600, Potri.011G132400","Sobic.007G033800, Sobic.002G329300","Seita.6G069500, Seita.2G342600","Sevir.6G068300, Sevir.2G352900","VIT_200s0532g00050, VIT_219s0014g05100, VIT_212s0059g02650","Zm00001d027911, Zm00001d046173, Zm00001d049384, Zm00001d046571, Zm00001d024679, Zm00001d021701"
"Z.mays_RefGen_V4","Zm00001d028228",NA,"Mn,Fe,Zn",NA,NA,NA,NA,"Inferred","AtFRD3/MAN1",NA,"AT3G08040","","","LOC_Os03g11734","Potri.009G061100, Potri.001G266900","Sobic.001G454900","Seita.9G489200","Sevir.9G493200","VIT_213s0064g00930, VIT_213s0064g00940","Zm00001d028228"
"Z.mays_RefGen_V4","Zm00001d028344",NA,"Mn,Fe",NA,NA,NA,NA,"Inferred","AtMTP8,OsMTP8.2,OsMTP8.1",NA,"AT3G58060","Glyma.03G146700, Glyma.14G206600, Glyma.18G050400","Medtr5g075680, Medtr3g062610","LOC_Os02g53490, LOC_Os03g12530","Potri.001G010200, Potri.001G010000, Potri.001G010300","Sobic.004G315400, Sobic.001G445000","Seita.1G337100, Seita.9G478600","Sevir.1G343700, Sevir.9G482200","VIT_208s0007g06760, VIT_206s0004g01110","Zm00001d018242, Zm00001d028344"
"Z.mays_RefGen_V4","Zm00001d028401",NA,"Al",NA,NA,NA,NA,"Inferred","OsAUX3",NA,"AT5G01240, AT2G38120","Glyma.01G114000, Glyma.03G063600, Glyma.03G063900, Glyma.07G147000, Glyma.18G198400, Glyma.02G255800, Glyma.14G060700, Glyma.11G228300, Glyma.18G029000","Medtr4g415390, Medtr7g067450, Medtr5g082220","LOC_Os01g63770, LOC_Os05g37470, LOC_Os03g14080, LOC_Os10g05690","Potri.006G098300, Potri.016G113600, Potri.008G066400, Potri.010G191000","Sobic.003G361300, Sobic.009G156600, Sobic.001G439000, Sobic.001G267100","Seita.5G387200, Seita.3G223500, Seita.9G471700, Seita.9G288200","Sevir.5G392400, Sevir.3G228500, Sevir.9G475300, Sevir.9G295700","VIT_208s0007g02030, VIT_213s0067g00330","Zm00001d042809, Zm00001d038275, Zm00001d028401, Zm00001d030310"
"Z.mays_RefGen_V4","Zm00001d028667",NA,"Ni",NA,NA,NA,NA,"Inferred","AtZAT11",NA,"AT2G28710, AT2G37430, AT3G53600","Glyma.20G099100, Glyma.10G290200, Glyma.02G094500, Glyma.18G287200, Glyma.13G333400, Glyma.15G040700, Glyma.12G065800, Glyma.11G142500, Glyma.03G173200, Glyma.19G174100, Glyma.10G045200, Glyma.13G132800, Glyma.03G173100, Glyma.19G174000, Glyma.19G174200, Glyma.03G173300, Glyma.13G133100, Glyma.10G045400","Medtr7g023560, Medtr2g096540, Medtr1g067660, Medtr7g100100, Medtr1g067650, Medtr1g067640","LOC_Os03g17150","Potri.010G209400, Potri.008G051200, Potri.009G027700, Potri.001G235800","Sobic.001G035300, Sobic.001G416200","Seita.9G034400, Seita.9G449600","Sevir.9G033500, Sevir.9G453500","VIT_213s0019g00480, VIT_206s0004g04180","Zm00001d034639, Zm00001d028667, Zm00001d047786"
"Z.mays_RefGen_V4","Zm00001d028784",NA,"Fe",NA,NA,NA,NA,"Inferred","OsMIT",NA,"AT1G07030, AT2G30160, AT1G07025","Glyma.02G231200, Glyma.14G198800","Medtr5g073040","LOC_Os03g18550","Potri.016G125200, Potri.009G077600, Potri.001G282400","Sobic.001G403700","Seita.9G437700","Sevir.9G441600","VIT_208s0058g00450, VIT_206s0004g07350","Zm00001d047709, Zm00001d028784"
"Z.mays_RefGen_V4","Zm00001d028887",NA,"Fe,Zn,Cu",NA,NA,NA,NA,"Inferred","OsNAS2,OsNAS1,OsNAS3",NA,"","","","LOC_Os03g19427, LOC_Os03g19420, LOC_Os07g48980","","Sobic.001G395900, Sobic.001G151400","Seita.9G429600, Seita.9G045300, Seita.2G440200","Sevir.9G433666, Sevir.9G044800, Sevir.2G452700","","Zm00001d047658, Zm00001d047651, Zm00001d047656, Zm00001d047639, Zm00001d028887, Zm00001d028888, Zm00001d022557, Zm00001d013655, Zm00001d033496"
"Z.mays_RefGen_V4","Zm00001d028888",NA,"Fe,Zn,Cu",NA,NA,NA,NA,"Inferred","OsNAS2,OsNAS1,OsNAS3",NA,"","","","LOC_Os03g19427, LOC_Os03g19420, LOC_Os07g48980","","Sobic.001G395900, Sobic.001G151400","Seita.9G429600, Seita.9G045300, Seita.2G440200","Sevir.9G433666, Sevir.9G044800, Sevir.2G452700","","Zm00001d047658, Zm00001d047651, Zm00001d047656, Zm00001d047639, Zm00001d028887, Zm00001d028888, Zm00001d022557, Zm00001d013655, Zm00001d033496"
"Z.mays_RefGen_V4","Zm00001d029020",NA,"P",NA,NA,NA,NA,"Inferred","OsPHR2",NA,"","","","LOC_Os03g21240","","Sobic.009G114300, Sobic.001G384300","Seita.9G416300","Sevir.9G420400","","Zm00001d029020"
"Z.mays_RefGen_V4","Zm00001d029133",NA,"S",NA,NA,NA,NA,"Inferred","AtABH1",NA,"AT2G13540","Glyma.16G049600, Glyma.19G101600","Medtr7g083840","LOC_Os03g22570","Potri.009G049200","Sobic.001G373800","Seita.9G406000","Sevir.9G409800","VIT_206s0009g03810","Zm00001d029133"
"Z.mays_RefGen_V4","Zm00001d029339",NA,"Fe,Zn,Mn,Co",NA,NA,NA,NA,"Inferred","AtPYE",NA,"AT3G47640","Glyma.05G027600, Glyma.17G098900","Medtr4g108360","LOC_Os03g26210, LOC_Os07g43530","Potri.015G142700, Potri.003G074400","Sobic.001G355600, Sobic.002G385300","Seita.9G384500, Seita.2G400400","Sevir.9G389000, Sevir.2G412100","VIT_214s0108g00480, VIT_217s0000g06000","Zm00001d029339, Zm00001d022225"
